col_X,pattern_X,match_type_X,col_Y,pattern_Y,match_type_Y,confidence,n_matching_X,n_valid,n_violations,epsilon,generalized_from
Department,PO,startswith,Department Name,Department of Police,exact,1.0,1835,1835,0,0.0,2
Department,HH,startswith,Department Name,Department of Health and Human Services,exact,1.0,1512,1512,0,0.0,2
Department,F,startswith,Assignment Category,Fulltime-Regular,exact,1.0,1392,1392,0,0.0,1
Department,FR,startswith,Department Name,Fire and Rescue Services,exact,1.0,1281,1281,0,0.0,2
Department Name,F,startswith,Assignment Category,Fulltime-Regular,exact,1.0,1281,1281,0,0.0,1
Department Name,F,startswith,Department,FRS,exact,1.0,1281,1281,0,0.0,4
Department,DO,startswith,Department Name,Department of Transportation,exact,1.0,1199,1199,0,0.0,2
Position Title,Po,startswith,Department,POL,exact,1.0,1172,1172,0,0.0,1
Position Title,Po,startswith,Department Name,Department of Police,exact,1.0,1172,1172,0,0.0,1
Position Title,Fir,startswith,Assignment Category,Fulltime-Regular,exact,1.0,951,951,0,0.0,1
Division,St,startswith,Assignment Category,Fulltime-Regular,exact,1.0,937,937,0,0.0,1
Division,Sta,startswith,Department,FRS,exact,1.0,922,922,0,0.0,1
Division,Sta,startswith,Department Name,Fire and Rescue Services,exact,1.0,922,922,0,0.0,1
Division,PS,startswith,Department,POL,exact,1.0,900,900,0,0.0,1
Division,PS,startswith,Department Name,Department of Police,exact,1.0,900,900,0,0.0,1
Division,Transit,startswith,Assignment Category,Fulltime-Regular,exact,1.0,773,773,0,0.0,1
Division,Transit,startswith,Department,DOT,exact,1.0,773,773,0,0.0,1
Division,Transit,startswith,Department Name,Department of Transportation,exact,1.0,773,773,0,0.0,1
Position Title,B,startswith,Assignment Category,Fulltime-Regular,exact,1.0,670,670,0,0.0,1
Position Title,Firefighter,startswith,Department,FRS,exact,1.0,651,651,0,0.0,1
Position Title,Firefighter,startswith,Department Name,Fire and Rescue Services,exact,1.0,651,651,0,0.0,1
Department,CO,startswith,Assignment Category,Fulltime-Regular,exact,1.0,494,494,0,0.0,1
Department,CO,startswith,Department Name,Correction and Rehabilitation,exact,1.0,494,494,0,0.0,2
Department Name,Cor,startswith,Assignment Category,Fulltime-Regular,exact,1.0,494,494,0,0.0,1
Department Name,Cor,startswith,Department,COR,exact,1.0,494,494,0,0.0,2
Underfilled Job Title,P,startswith,Assignment Category,Fulltime-Regular,exact,1.0,478,478,0,0.0,1
Department,DL,startswith,Department Name,Department of Liquor Control,exact,1.0,414,414,0,0.0,2
Position Title,Cor,startswith,Assignment Category,Fulltime-Regular,exact,1.0,402,402,0,0.0,1
Position Title,Cor,startswith,Department,COR,exact,1.0,402,402,0,0.0,1
Position Title,Cor,startswith,Department Name,Correction and Rehabilitation,exact,1.0,402,402,0,0.0,1
Department,DG,startswith,Department Name,Department of General Services,exact,1.0,400,400,0,0.0,2
Division,DS,startswith,Assignment Category,Fulltime-Regular,exact,1.0,400,400,0,0.0,1
Division,DS,startswith,Department,COR,exact,1.0,400,400,0,0.0,1
Division,DS,startswith,Department Name,Correction and Rehabilitation,exact,1.0,400,400,0,0.0,1
Department,L,startswith,Department Name,Department of Public Libraries,exact,1.0,385,385,0,0.0,3
Division,FS,startswith,Department,POL,exact,1.0,368,368,0,0.0,1
Division,FS,startswith,Department Name,Department of Police,exact,1.0,368,368,0,0.0,1
Position Title,Lib,startswith,Department,LIB,exact,1.0,316,316,0,0.0,3
Position Title,Lib,startswith,Department Name,Department of Public Libraries,exact,1.0,316,316,0,0.0,3
Division,School,startswith,Department,HHS,exact,1.0,314,314,0,0.0,1
Division,School,startswith,Department Name,Department of Health and Human Services,exact,1.0,314,314,0,0.0,1
Underfilled Job Title,F,startswith,Assignment Category,Fulltime-Regular,exact,1.0,299,299,0,0.0,1
Underfilled Job Title,F,startswith,Department,FRS,exact,1.0,299,299,0,0.0,1
Underfilled Job Title,F,startswith,Department Name,Fire and Rescue Services,exact,1.0,299,299,0,0.0,1
Underfilled Job Title,F,startswith,Position Title,Firefighter/Rescuer III,exact,1.0,299,299,0,0.0,4
Position Title,Mas,startswith,Assignment Category,Fulltime-Regular,exact,1.0,288,288,0,0.0,1
Division,MS,startswith,Assignment Category,Fulltime-Regular,exact,1.0,287,287,0,0.0,1
